137,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
137,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012 (continued)"
137,"t","[For meaning of abbreviations and symbols, see introductory text.]"
137,"h","","","","","","","",""
137,"h","","","","","","","",""
137,"h","","","H190408 (see text)","H190408 (see text)","H190501","H190501","H190502","H190502"
137,"d","Cropland on which no-till practices were used","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Cropland on which reduced tillage, excluding","",,,,,,
137,"d"," no till, practices were used (see text)","farms","(X)",1,-,-,-,-
137,"d","","acres","(X)","(D)",-,-,-,-
137,"d","FERTILIZERS AND CHEMICALS","",,,,,,
137,"d","","",,,,,,
137,"d","Commercial fertilizer, lime, and soil conditioners","",,,,,,
137,"d"," used","farms","(X)",1,-,1,-,-
137,"d","","acres treated","(X)","(D)",-,"(D)",-,-
137,"d","Manure used","farms","(X)",-,-,1,-,-
137,"d","","acres treated","(X)",-,-,"(D)",-,-
137,"d","Organic fertilizer used (see text)","farms","(X)","(NA)",-,"(NA)",-,"(NA)"
137,"d","","acres","(X)","(NA)",-,"(NA)",-,"(NA)"
137,"d","Acres treated to control -","",,,,,,
137,"d","  Insects","farms","(X)",-,-,1,-,-
137,"d","","acres","(X)",-,-,"(D)",-,-
137,"d","  Weeds, grass, or brush","farms","(X)",-,-,1,-,-
137,"d","","acres","(X)",-,-,"(D)",-,-
137,"d","  Nematodes","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","  Diseases in crops and orchards","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","  Chemicals used to control growth, thin fruit, ripen,","",,,,,,
137,"d","   or defoliate","farms","(X)",-,-,-,-,-
137,"d","","acres on which used","(X)",-,-,-,-,-
137,"d","SELECTED CROPS","",,,,,,
137,"d","","",,,,,,
137,"d","Corn, all","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Soybeans, for beans","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Small grains (wheat, oats, barley, rye)","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Cotton, all","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Rice","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Land in vegetables (see text)","farms","(X)",1,-,1,-,-
137,"d","","acres","(X)","(D)",-,"(D)",-,-
137,"d","Land in orchards (see text)","farms","(X)",-,-,-,-,-
137,"d","","acres","(X)",-,-,-,-,-
137,"d","Nursery, greenhouse, floriculture, and sod (see text)","farms","(X)",1,-,2,-,-
137,"d","","acres","(X)","(D)",-,"(D)",-,-
137,"d","All other crops (other than those listed above)","farms","(X)",-,-,2,-,-
137,"d","","acres","(X)",-,-,"(D)",-,-
137,"d","LIVESTOCK AND POULTRY","",,,,,,
137,"d","","",,,,,,
137,"d","Cattle and calves inventory","farms","(X)",-,-,-,-,-
137,"d","","number","(X)",-,-,-,-,-
137,"d","Hogs and pigs inventory","farms","(X)",-,-,-,-,-
137,"d","","number","(X)",-,-,-,-,-
137,"d","Sheep and lambs inventory (see text)","farms","(X)",-,-,-,-,-
137,"d","","number","(X)",-,-,-,-,-
137,"d","Total horses and ponies inventory","farms","(X)",1,-,-,-,-
137,"d","","number","(X)","(D)",-,-,-,-
137,"d","Goats, all inventory","farms","(X)",-,-,-,-,-
137,"d","","number","(X)",-,-,-,-,-
137,"d","Chickens, all inventory (see text)","farms","(X)",-,-,-,-,-
137,"d","","number","(X)",-,-,-,-,-
137,"c",""
137,"c","--continued"
