135,"t","Watershed: Released July 25, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
135,"t","Table 1.  Summary by Hydrologic Unit Code: 2017 and 2012 (continued)"
135,"t","[For meaning of abbreviations and symbols, see introductory text.]"
135,"h","","","","","","","",""
135,"h","","","","","","","",""
135,"h","","","H190401 (see text)","H190401 (see text)","H190402 (see text)","H190402 (see text)","H190404 (see text)","H190404 (see text)"
135,"d","Commercial fertilizer, lime, and soil conditioners","",,,,,,
135,"d"," used","farms","(X)",12,"(X)",-,"(X)",6
135,"d","","acres treated","(X)",4071,"(X)",-,"(X)",1426
135,"d","Manure used","farms","(X)",6,"(X)",-,"(X)",2
135,"d","","acres treated","(X)",168,"(X)",-,"(X)","(D)"
135,"d","Organic fertilizer used (see text)","farms","(X)","(NA)","(X)","(NA)","(X)","(NA)"
135,"d","","acres","(X)","(NA)","(X)","(NA)","(X)","(NA)"
135,"d","Acres treated to control -","",,,,,,
135,"d","  Insects","farms","(X)",-,"(X)",-,"(X)",1
135,"d","","acres","(X)",-,"(X)",-,"(X)","(D)"
135,"d","  Weeds, grass, or brush","farms","(X)",5,"(X)",-,"(X)",1
135,"d","","acres","(X)",2271,"(X)",-,"(X)","(D)"
135,"d","  Nematodes","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","  Diseases in crops and orchards","farms","(X)",1,"(X)",-,"(X)",-
135,"d","","acres","(X)","(D)","(X)",-,"(X)",-
135,"d","  Chemicals used to control growth, thin fruit, ripen,","",,,,,,
135,"d","   or defoliate","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres on which used","(X)",-,"(X)",-,"(X)",-
135,"d","SELECTED CROPS","",,,,,,
135,"d","","",,,,,,
135,"d","Corn, all","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","Soybeans, for beans","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","Small grains (wheat, oats, barley, rye)","farms","(X)",4,"(X)",-,"(X)",1
135,"d","","acres","(X)","(D)","(X)",-,"(X)","(D)"
135,"d","Cotton, all","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","Rice","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","Land in vegetables (see text)","farms","(X)",-,"(X)",-,"(X)",1
135,"d","","acres","(X)",-,"(X)",-,"(X)","(D)"
135,"d","Land in orchards (see text)","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","acres","(X)",-,"(X)",-,"(X)",-
135,"d","Nursery, greenhouse, floriculture, and sod (see text)","farms","(X)",3,"(X)",2,"(X)",-
135,"d","","acres","(X)","(D)","(X)","(D)","(X)",-
135,"d","All other crops (other than those listed above)","farms","(X)",13,"(X)",2,"(X)",7
135,"d","","acres","(X)","(D)","(X)","(D)","(X)","(D)"
135,"d","LIVESTOCK AND POULTRY","",,,,,,
135,"d","","",,,,,,
135,"d","Cattle and calves inventory","farms","(X)",5,"(X)",1,"(X)",2
135,"d","","number","(X)",162,"(X)","(D)","(X)","(D)"
135,"d","Hogs and pigs inventory","farms","(X)",1,"(X)",-,"(X)",1
135,"d","","number","(X)","(D)","(X)",-,"(X)","(D)"
135,"d","Sheep and lambs inventory (see text)","farms","(X)",2,"(X)",-,"(X)",1
135,"d","","number","(X)","(D)","(X)",-,"(X)","(D)"
135,"d","Total horses and ponies inventory","farms","(X)",5,"(X)",-,"(X)",2
135,"d","","number","(X)",40,"(X)",-,"(X)","(D)"
135,"d","Goats, all inventory","farms","(X)",-,"(X)",-,"(X)",-
135,"d","","number","(X)",-,"(X)",-,"(X)",-
135,"d","Chickens, all inventory (see text)","farms","(X)",3,"(X)",1,"(X)",1
135,"d","","number","(X)",77,"(X)","(D)","(X)","(D)"
135,"c",""
135,"c","--continued"
