AnthropogenicHUC_PUptake_year,AnthropogenicHUC_PUptake_day,HUC_8,AREA_ACRES,PFOR_year,PWETL_year,PAGC_year,PAGP_year,PDEV_year,PFOR_day,PWETL_day,PAGC_day,PAGP_day,PDEV_day
8537883.123509133 kilogram,23391.46061235379 kilogram,03110206,885756.537145 acre,2548338.2969908672 kilogram,480974.01498226216 kilogram,7601515.403601033 kilogram,455393.7049258395 kilogram,0.0 kilogram,6981.748758879088 kilogram,1317.7370273486636 kilogram,20826.06959890694 kilogram,1247.6539860981904 kilogram,0.0 kilogram
4056802.880984571 kilogram,11114.528441053619 kilogram,03060106,1193646.83075 acre,4151886.614432023 kilogram,640918.8837975622 kilogram,3207352.002001815 kilogram,208531.9951851934 kilogram,0.0 kilogram,11375.031820361706 kilogram,1755.9421473905813 kilogram,8787.265758909081 kilogram,571.3205347539546 kilogram,0.0 kilogram
2498129.482667852 kilogram,6844.190363473567 kilogram,03060109,574710.729561 acre,1019485.0791142791 kilogram,744621.0066792164 kilogram,1716352.0420259929 kilogram,37156.43396264303 kilogram,0.0 kilogram,2793.1098057925456 kilogram,2040.0575525457984 kilogram,4702.3343617150485 kilogram,101.79844921272063 kilogram,0.0 kilogram
3171378.7581538847 kilogram,8688.708926448999 kilogram,03060204,2291286.43939 acre,3556642.302920088 kilogram,3047199.9430385134 kilogram,87643.95327285872 kilogram,36534.86184251274 kilogram,0.0 kilogram,9744.225487452297 kilogram,8348.492994626064 kilogram,240.12041992564033 kilogram,100.09551189729518 kilogram,0.0 kilogram
2585382.2205313165 kilogram,7083.238960359771 kilogram,03070101,1868937.17767 acre,8646416.240599286 kilogram,238890.98296452657 kilogram,775506.6268909776 kilogram,1570984.610675812 kilogram,0.0 kilogram,23688.811618080235 kilogram,654.495843738429 kilogram,2124.6756901122676 kilogram,4304.067426509074 kilogram,0.0 kilogram
21089645.64034697 kilogram,57779.85106944376 kilogram,03070104,1464212.4532 acre,5149490.889245327 kilogram,764101.010694368 kilogram,19980937.491553675 kilogram,344607.1380989264 kilogram,0.0 kilogram,14108.194217110484 kilogram,2093.4274265599124 kilogram,54742.29449740733 kilogram,944.1291454765106 kilogram,0.0 kilogram
5296473.026042131 kilogram,14510.885002855153 kilogram,03070105,516992.001034 acre,1717590.8522342902 kilogram,306876.6513070714 kilogram,4864555.4233982125 kilogram,125040.95133684669 kilogram,0.0 kilogram,4705.728362285727 kilogram,840.757948786497 kilogram,13327.549105200582 kilogram,342.5779488680731 kilogram,0.0 kilogram
8311500.529993174 kilogram,22771.234328748422 kilogram,03080202,2622254.28476 acre,1435412.393787356 kilogram,3439656.762251884 kilogram,4797249.835966258 kilogram,74593.93177503053 kilogram,0.0 kilogram,3932.636695307825 kilogram,9423.717156854478 kilogram,13143.150235523995 kilogram,204.36693636994667 kilogram,0.0 kilogram
20047976.8637602 kilogram,54925.96401030192 kilogram,03090101,1897940.21928 acre,562182.5418366867 kilogram,1917866.3235549822 kilogram,16326797.599994937 kilogram,1803312.94021028 kilogram,0.0 kilogram,1540.2261420183197 kilogram,5254.42828371228 kilogram,44730.95232875325 kilogram,4940.5833978363835 kilogram,0.0 kilogram
324336632.5351795 kilogram,888593.5137950124 kilogram,03090202,6624335.30959 acre,631541.9248635429 kilogram,14391254.497590285 kilogram,308330922.3943639 kilogram,1614455.6432253057 kilogram,0.0 kilogram,1730.2518489412134 kilogram,39428.09451394599 kilogram,844742.2531352435 kilogram,4423.166145822755 kilogram,0.0 kilogram
48638149.53933953 kilogram,133255.20421736856 kilogram,03090205,889202.865655 acre,141908.29862450907 kilogram,743689.9103723179 kilogram,47334709.4398756 kilogram,559750.1890916063 kilogram,0.0 kilogram,388.78985924523033 kilogram,2037.506603759775 kilogram,129684.13545171398 kilogram,1533.5621618948119 kilogram,0.0 kilogram
36326783.26165046 kilogram,99525.43359356289 kilogram,03100101,1503779.4385 acre,181103.86748896484 kilogram,1352690.9714494974 kilogram,33247651.849778533 kilogram,1726440.4404224318 kilogram,0.0 kilogram,496.1749794218215 kilogram,3706.002661505472 kilogram,91089.4571226809 kilogram,4729.973809376525 kilogram,0.0 kilogram
13354442.386079777 kilogram,36587.51338651994 kilogram,03100201,1503788.21958 acre,348442.1726169708 kilogram,1218147.3224209805 kilogram,11687856.24189042 kilogram,448438.82176837715 kilogram,0.0 kilogram,954.6360893615638 kilogram,3337.3899244410427 kilogram,32021.52395038471 kilogram,1228.599511694184 kilogram,0.0 kilogram
17543661.008752424 kilogram,48064.82468151349 kilogram,03100202,230730.825511 acre,47710.92157963017 kilogram,201770.573728127 kilogram,17201994.06433668 kilogram,139896.37068761882 kilogram,0.0 kilogram,130.7148536428224 kilogram,552.7960924058274 kilogram,47128.750861196386 kilogram,383.27772791128444 kilogram,0.0 kilogram
16771291.532863297 kilogram,45948.74392565287 kilogram,03100208,1289505.99223 acre,2225225.5871649724 kilogram,1409318.8645814876 kilogram,14187108.295954298 kilogram,1174864.3723275093 kilogram,0.0 kilogram,6096.508457986226 kilogram,3861.1475741958566 kilogram,38868.789851929585 kilogram,3218.806499527423 kilogram,0.0 kilogram
8538975.566127833 kilogram,23394.45360582968 kilogram,03110103,610653.957594 acre,1886379.3215697566 kilogram,631618.2332919756 kilogram,7783245.039521094 kilogram,124112.29331476297 kilogram,0.0 kilogram,5168.162524848648 kilogram,1730.4609131287002 kilogram,21323.95901238656 kilogram,340.0336803144191 kilogram,0.0 kilogram
33213978.60070337 kilogram,90997.20164576266 kilogram,03110203,963050.308344 acre,2404035.220433327 kilogram,537083.2937100392 kilogram,32490927.94145988 kilogram,185967.36553345245 kilogram,0.0 kilogram,6586.397864200896 kilogram,1471.4610786576418 kilogram,89016.24093550652 kilogram,509.4996315984999 kilogram,0.0 kilogram
3106579.3044019933 kilogram,8511.176176443818 kilogram,03120001,1167214.05838 acre,4523213.65580579 kilogram,1039210.7086472237 kilogram,1934382.9546120784 kilogram,132985.64114269096 kilogram,0.0 kilogram,12392.366180289835 kilogram,2847.15262643075 kilogram,5299.679327704324 kilogram,364.34422230874236 kilogram,0.0 kilogram
12057411.986328408 kilogram,33034.005441995636 kilogram,03120002,587719.147459 acre,1422439.5620176245 kilogram,371982.1588272952 kilogram,11568163.995695358 kilogram,117265.83180575482 kilogram,0.0 kilogram,3897.094690459245 kilogram,1019.1292022665622 kilogram,31693.59998820646 kilogram,321.27625152261595 kilogram,0.0 kilogram
2292985.2600717572 kilogram,6282.151397456869 kilogram,03090102,217848.086209 acre,19514.630110908056 kilogram,163659.30702066433 kilogram,1618133.7536285843 kilogram,511192.19942250836 kilogram,0.0 kilogram,53.464740029885085 kilogram,448.3816630703132 kilogram,4433.243160626258 kilogram,1400.526573760297 kilogram,0.0 kilogram
8481900.691876074 kilogram,23238.08408733171 kilogram,03090201,427338.344896 acre,45923.32086990753 kilogram,1050651.7715455233 kilogram,7430439.074188467 kilogram,809.8461420839328 kilogram,0.0 kilogram,125.81731745180146 kilogram,2878.4980042343104 kilogram,20357.367326543746 kilogram,2.2187565536546106 kilogram,0.0 kilogram
8962242.329841236 kilogram,24554.088574907495 kilogram,03100204,270144.815013 acre,129875.87605444845 kilogram,256603.2983836142 kilogram,8590914.0156866 kilogram,114725.01577102124 kilogram,0.0 kilogram,355.824317957393 kilogram,703.0227352975731 kilogram,23536.750727908493 kilogram,314.31511170142807 kilogram,0.0 kilogram
6733740.192910587 kilogram,18448.603268248185 kilogram,03110102,2643877.35088 acre,5946154.370245381 kilogram,3977816.5489338455 kilogram,2661722.58991756 kilogram,94201.05405918171 kilogram,0.0 kilogram,16290.833891083237 kilogram,10898.127531325605 kilogram,7292.390657308384 kilogram,258.08507961419645 kilogram,0.0 kilogram
32449240.438131098 kilogram,88902.02859761944 kilogram,03110202,1148986.72782 acre,3159864.7441753913 kilogram,806035.7259593336 kilogram,31451011.85439958 kilogram,192192.8577721813 kilogram,0.0 kilogram,8657.163682672304 kilogram,2208.3170574228316 kilogram,86167.1557654783 kilogram,526.555774718305 kilogram,0.0 kilogram
5160620.491639989 kilogram,14138.686278465724 kilogram,03120003,980735.871151 acre,3189008.9439148325 kilogram,1178011.5439171505 kilogram,3896621.560897687 kilogram,85987.38682515158 kilogram,0.0 kilogram,8737.010805246116 kilogram,3227.4288874442477 kilogram,10675.675509308732 kilogram,235.58188171274406 kilogram,0.0 kilogram
582620.5446878173 kilogram,1596.2206703775817 kilogram,03130001,1010289.02075 acre,4608044.239419514 kilogram,17403.523842222956 kilogram,113984.34174623062 kilogram,451232.67909936374 kilogram,0.0 kilogram,12624.778738135656 kilogram,47.680887238967 kilogram,312.28586779789214 kilogram,1236.2539153407226 kilogram,0.0 kilogram
1400321.8473908072 kilogram,3836.498212029609 kilogram,03130002,1950991.56694 acre,10206790.21119908 kilogram,193821.10851327644 kilogram,238225.30403712674 kilogram,968275.4348404041 kilogram,0.0 kilogram,27963.8087978057 kilogram,531.0167356528121 kilogram,652.6720658551418 kilogram,2652.809410521655 kilogram,0.0 kilogram
3448519.1649884447 kilogram,9447.997712297109 kilogram,03140101,1971440.48607 acre,3756351.6691589137 kilogram,2465529.89715454 kilogram,924949.056996167 kilogram,58040.21083773771 kilogram,0.0 kilogram,10291.374436051818 kilogram,6754.876430560383 kilogram,2534.107005468951 kilogram,159.01427626777453 kilogram,0.0 kilogram
2399470.8157453733 kilogram,6573.892645877735 kilogram,03150105,1018563.49356 acre,5621663.2090103235 kilogram,29740.145115528918 kilogram,1658473.8899582373 kilogram,711256.7806716069 kilogram,0.0 kilogram,15401.817010987188 kilogram,81.47984963158608 kilogram,4543.764082077362 kilogram,1948.648714168786 kilogram,0.0 kilogram
2816512.9172487725 kilogram,7716.473745887048 kilogram,03150106,1663280.13734 acre,8972023.38739937 kilogram,93781.78456798973 kilogram,1640987.7028946474 kilogram,1081743.4297861354 kilogram,0.0 kilogram,24580.885992874984 kilogram,256.93639607668416 kilogram,4495.856720259308 kilogram,2963.680629551056 kilogram,0.0 kilogram
1108335.8069482327 kilogram,3036.5364573924185 kilogram,03160105,509007.521735 acre,2362273.927136846 kilogram,180721.81252263987 kilogram,755785.2486253588 kilogram,171828.74580023394 kilogram,0.0 kilogram,6471.9833620187555 kilogram,495.12825348668457 kilogram,2070.644516781805 kilogram,470.7636871239286 kilogram,0.0 kilogram
75605400.03189223 kilogram,207138.08227915678 kilogram,03090204,2555113.40214 acre,357240.04568764754 kilogram,4794716.113086564 kilogram,70410227.68246499 kilogram,400456.2363406644 kilogram,0.0 kilogram,978.7398511990343 kilogram,13136.208529004283 kilogram,192904.7333766164 kilogram,1097.1403735360668 kilogram,0.0 kilogram
10842349.176747471 kilogram,29705.066237664305 kilogram,03100206,546467.324263 acre,132813.60793734892 kilogram,412297.30225048395 kilogram,10356867.348338146 kilogram,73184.52615884179 kilogram,0.0 kilogram,363.87289845849017 kilogram,1129.581650001326 kilogram,28374.979036542863 kilogram,200.5055511201145 kilogram,0.0 kilogram
12915699.919099826 kilogram,35385.479230410485 kilogram,03130004,805650.330667 acre,3103988.011524296 kilogram,160005.28052010344 kilogram,12536255.269744983 kilogram,219439.3688347404 kilogram,0.0 kilogram,8504.07674390218 kilogram,438.3706315619272 kilogram,34345.90484861639 kilogram,601.2037502321655 kilogram,0.0 kilogram
10874602.016366579 kilogram,29793.430181826243 kilogram,03130012,826498.461098 acre,2307917.594803078 kilogram,483367.913836353 kilogram,10239853.621793956 kilogram,151380.48073627002 kilogram,0.0 kilogram,6323.0619035700765 kilogram,1324.2956543461726 kilogram,28054.393484367003 kilogram,414.74104311306854 kilogram,0.0 kilogram
4909492.002286828 kilogram,13450.663019963913 kilogram,03140203,992583.176858 acre,3136574.4631944774 kilogram,653695.2606536614 kilogram,4089540.2712464556 kilogram,166256.47038671083 kilogram,0.0 kilogram,8593.3546936835 kilogram,1790.9459195990726 kilogram,11204.219921223166 kilogram,455.49717914167354 kilogram,0.0 kilogram
1069642.5892602825 kilogram,2930.527641808993 kilogram,03150202,1170213.07744 acre,6390065.5328353895 kilogram,165728.1441698756 kilogram,530978.0763465976 kilogram,372936.3687438093 kilogram,0.0 kilogram,17507.02885708326 kilogram,454.04971005445367 kilogram,1454.7344557441031 kilogram,1021.7434760104364 kilogram,0.0 kilogram
3596907.567204085 kilogram,9854.541280011192 kilogram,03160104,704051.538527 acre,1998015.216827897 kilogram,351143.2255618857 kilogram,2417811.5055822427 kilogram,827952.8360599568 kilogram,0.0 kilogram,5474.01429267917 kilogram,962.0362344161251 kilogram,6624.141111184226 kilogram,2268.3639344108406 kilogram,0.0 kilogram
934847.837005916 kilogram,2561.2269507011397 kilogram,03160110,635897.90641 acre,3541272.3294110065 kilogram,18280.003562392387 kilogram,352177.3749827775 kilogram,564390.4584607462 kilogram,0.0 kilogram,9702.11597098906 kilogram,50.08220154080106 kilogram,964.8695205007604 kilogram,1546.2752286595787 kilogram,0.0 kilogram
867591.112539804 kilogram,2376.9619521638465 kilogram,03160204,619292.460263 acre,1945171.4767536523 kilogram,597529.2119965282 kilogram,217640.51965692366 kilogram,52421.380886352075 kilogram,0.0 kilogram,5329.236922612746 kilogram,1637.0663342370635 kilogram,596.2753963203388 kilogram,143.62022160644403 kilogram,0.0 kilogram
4683338.927660947 kilogram,12831.065555235471 kilogram,03160205,551937.227547 acre,668622.3769493224 kilogram,445159.5498463879 kilogram,4090558.689779049 kilogram,147620.6880355105 kilogram,0.0 kilogram,1831.8421286282805 kilogram,1219.615205058597 kilogram,11207.010108983695 kilogram,404.4402411931795 kilogram,0.0 kilogram
741466.0906539514 kilogram,2031.4139469971271 kilogram,03170001,586244.807141 acre,2679605.5272507663 kilogram,184839.54606747866 kilogram,254416.33610202206 kilogram,302210.2084844507 kilogram,0.0 kilogram,7341.385006166483 kilogram,506.4097152533662 kilogram,697.031057813759 kilogram,827.973173930002 kilogram,0.0 kilogram
441121.9445858373 kilogram,1208.5532728379105 kilogram,03170003,423135.145317 acre,2047809.9837340252 kilogram,171891.31199665784 kilogram,160914.83995972373 kilogram,108315.79262945577 kilogram,0.0 kilogram,5610.438311600069 kilogram,470.9351013607064 kilogram,440.8625752321198 kilogram,296.7555962450843 kilogram,0.0 kilogram
2138489.521872462 kilogram,5858.875402390307 kilogram,03170004,1124360.96691 acre,5229964.299663825 kilogram,377139.89092998096 kilogram,1019983.3169789476 kilogram,741366.3139635334 kilogram,0.0 kilogram,14328.669314147466 kilogram,1033.2599751506327 kilogram,2794.4748410382126 kilogram,2031.1405862014612 kilogram,0.0 kilogram
1502214.2277346689 kilogram,4115.655418451148 kilogram,03170007,809534.541891 acre,3010115.7915317635 kilogram,659170.5506228221 kilogram,633408.6784456981 kilogram,209634.9986661486 kilogram,0.0 kilogram,8246.892579539079 kilogram,1805.9467140351292 kilogram,1735.366242316981 kilogram,574.3424620990372 kilogram,0.0 kilogram
2625720.6224793755 kilogram,7193.755130080481 kilogram,03180001,1572927.33578 acre,6877891.066400312 kilogram,734711.5683688511 kilogram,645008.720592404 kilogram,1246000.3335181205 kilogram,0.0 kilogram,18843.53716822003 kilogram,2012.908406490003 kilogram,1767.1471797052166 kilogram,3413.6995438852614 kilogram,0.0 kilogram
2352103.9050694946 kilogram,6444.12028786163 kilogram,03180004,1136247.75241 acre,2762226.96032674 kilogram,1097352.393267843 kilogram,727459.9204461984 kilogram,527291.5913554534 kilogram,0.0 kilogram,7567.745096785589 kilogram,3006.4449130625835 kilogram,1993.0408779347902 kilogram,1444.6344968642559 kilogram,0.0 kilogram
1770338.1335377814 kilogram,4850.241461747346 kilogram,03180005,780655.97575 acre,2497633.347115043 kilogram,322010.4180936789 kilogram,814127.781155322 kilogram,634199.9342887808 kilogram,0.0 kilogram,6842.831087986419 kilogram,882.2203235443258 kilogram,2230.4870716584164 kilogram,1737.534066544605 kilogram,0.0 kilogram
15325448.518035043 kilogram,41987.53018639738 kilogram,04100007,1065834.11476 acre,546301.886572921 kilogram,9672.096431404801 kilogram,15220697.615971608 kilogram,95078.80563203128 kilogram,0.0 kilogram,1496.7174974600573 kilogram,26.498894332615894 kilogram,41700.54141362084 kilogram,260.4898784439213 kilogram,0.0 kilogram
3623268.5865832353 kilogram,9926.763250912973 kilogram,03130011,715384.074539 acre,2002396.0707099552 kilogram,1094590.0945662656 kilogram,2498552.2018276844 kilogram,30126.290189285457 kilogram,0.0 kilogram,5486.016632082069 kilogram,2998.8769714144264 kilogram,6845.34849815804 kilogram,82.5377813405081 kilogram,0.0 kilogram
2885914.9559233156 kilogram,7906.616317598125 kilogram,03140107,695551.896402 acre,958376.7878502692 kilogram,465695.2547506305 kilogram,2282319.523777821 kilogram,137900.17739486435 kilogram,0.0 kilogram,2625.689829726765 kilogram,1275.8774102757002 kilogram,6252.930202131017 kilogram,377.80870519140916 kilogram,0.0 kilogram
1397285.1953040988 kilogram,3828.1786172715033 kilogram,03150107,1232068.56442 acre,7218431.660733816 kilogram,77770.72263548034 kilogram,805119.7874389497 kilogram,514394.6852296687 kilogram,0.0 kilogram,19776.525097900867 kilogram,213.07047297391875 kilogram,2205.8076368190405 kilogram,1409.3005074785444 kilogram,0.0 kilogram
5829300.982530729 kilogram,15970.68762337186 kilogram,03150201,1540073.80344 acre,5482803.513752279 kilogram,597840.8350356026 kilogram,4127012.5331418933 kilogram,1104447.6143532328 kilogram,0.0 kilogram,15021.379489732271 kilogram,1637.9200959879522 kilogram,11306.883652443543 kilogram,3025.883874940364 kilogram,0.0 kilogram
5161691.517141923 kilogram,14141.620594909378 kilogram,03160101,1154002.74154 acre,4464008.999940643 kilogram,393062.9353912887 kilogram,4122955.6535924054 kilogram,645672.9281582296 kilogram,0.0 kilogram,12230.161643672995 kilogram,1076.8847544966814 kilogram,11295.768913951795 kilogram,1768.9669264609029 kilogram,0.0 kilogram
1245432.5620294192 kilogram,3412.144005560053 kilogram,03170006,396115.817225 acre,990423.0161677024 kilogram,508903.4255530206 kilogram,640772.2449982769 kilogram,95756.89147812185 kilogram,0.0 kilogram,2713.487715527952 kilogram,1394.2559604192345 kilogram,1755.5403972555532 kilogram,262.34764788526536 kilogram,0.0 kilogram
2647089.9354668474 kilogram,7252.301193059856 kilogram,03170008,660047.461924 acre,2165380.1445153942 kilogram,449142.8432373682 kilogram,1927994.5028915037 kilogram,269952.5893379755 kilogram,0.0 kilogram,5932.5483411380665 kilogram,1230.5283376366253 kilogram,5282.176720250695 kilogram,739.5961351725356 kilogram,0.0 kilogram
2458255.595044193 kilogram,6734.946835737514 kilogram,03180002,1259585.38291 acre,4980707.315684402 kilogram,593203.2994137597 kilogram,1131700.7932719218 kilogram,733351.5023585111 kilogram,0.0 kilogram,13645.7734676285 kilogram,1625.2145189418075 kilogram,3100.5501185532103 kilogram,2009.182198242496 kilogram,0.0 kilogram
23723350.982315 kilogram,64995.482143328765 kilogram,04050003,1299777.63904 acre,2471232.5141995004 kilogram,505447.11777487997 kilogram,22448585.700472612 kilogram,769318.164067508 kilogram,0.0 kilogram,6770.500038902741 kilogram,1384.786624040767 kilogram,61502.97452184277 kilogram,2107.720997445227 kilogram,0.0 kilogram
4797164.196410899 kilogram,13142.915606605204 kilogram,04100001,573203.578663 acre,571567.0559479826 kilogram,68597.04987941995 kilogram,4584522.385674963 kilogram,144044.76085651695 kilogram,0.0 kilogram,1565.937139583514 kilogram,187.93712295731493 kilogram,12560.335303219075 kilogram,394.64318042881354 kilogram,0.0 kilogram
1111661.7692177373 kilogram,3045.6486827883214 kilogram,04150302,656548.496335 acre,4114586.725673319 kilogram,255242.66826931675 kilogram,495251.3996005429 kilogram,361167.7013478777 kilogram,0.0 kilogram,11272.840344310463 kilogram,699.2949815597719 kilogram,1356.8531495905286 kilogram,989.5005516380211 kilogram,0.0 kilogram
523586.5772833386 kilogram,1434.4837733790098 kilogram,04150305,810401.281292 acre,6046533.03014386 kilogram,235130.09244022536 kilogram,180257.09138317776 kilogram,108199.39345993551 kilogram,0.0 kilogram,16565.843918202354 kilogram,644.1920340828092 kilogram,493.8550448854185 kilogram,296.43669441078225 kilogram,0.0 kilogram
1796346.63462917 kilogram,4921.497629121013 kilogram,05020005,938956.819364 acre,5164033.449843913 kilogram,1446.7565645958707 kilogram,1034573.2694369955 kilogram,760326.6086275786 kilogram,0.0 kilogram,14148.036848887434 kilogram,3.9637166153311525 kilogram,2834.447313526015 kilogram,2083.0865989796675 kilogram,0.0 kilogram
4331732.249659525 kilogram,11867.759588108289 kilogram,05030101,1268801.46368 acre,6199142.147224546 kilogram,7155.780026317893 kilogram,3481214.5784878354 kilogram,843361.8911453721 kilogram,0.0 kilogram,16983.951088286427 kilogram,19.604876784432584 kilogram,9537.574187637905 kilogram,2310.580523685951 kilogram,0.0 kilogram
5388159.9791340865 kilogram,14762.082134613936 kilogram,05040002,639850.375335 acre,2209497.73285551 kilogram,12929.758132221086 kilogram,5050673.132205544 kilogram,324557.0887963211 kilogram,0.0 kilogram,6053.418446179479 kilogram,35.423994882797494 kilogram,13837.460636179572 kilogram,889.1975035515648 kilogram,0.0 kilogram
10663370.842720434 kilogram,29214.71463759023 kilogram,05120101,1017392.78155 acre,742770.2767014239 kilogram,14163.164169782767 kilogram,10501502.17606855 kilogram,147705.50248210202 kilogram,0.0 kilogram,2034.987059455956 kilogram,38.80318950625416 kilogram,28771.238838543974 kilogram,404.6726095400055 kilogram,0.0 kilogram
14249529.765730863 kilogram,39039.80757734483 kilogram,05120108,1463557.95936 acre,2087217.9954740833 kilogram,27043.79904761916 kilogram,13942027.404530888 kilogram,280458.5621523559 kilogram,0.0 kilogram,5718.405467052283 kilogram,74.09260013046345 kilogram,38197.33535487915 kilogram,768.3796223352217 kilogram,0.0 kilogram
1048193.2835226712 kilogram,2871.762420610058 kilogram,03140102,798595.527938 acre,2932471.3765288005 kilogram,340667.00011471304 kilogram,688759.0897294556 kilogram,18767.19367850255 kilogram,0.0 kilogram,8034.168154873426 kilogram,933.3342468896248 kilogram,1887.0112047382347 kilogram,51.41696898219877 kilogram,0.0 kilogram
877162.2955156001 kilogram,2403.1843712756167 kilogram,03140301,527824.178276 acre,2825545.108427888 kilogram,117140.23785898276 kilogram,554491.4001286414 kilogram,205530.65752797594 kilogram,0.0 kilogram,7741.219475144898 kilogram,320.93215851776097 kilogram,1519.1545209003873 kilogram,563.0976918574684 kilogram,0.0 kilogram
957860.219394986 kilogram,2624.2745736848933 kilogram,03150104,1191279.95875 acre,6616817.952458016 kilogram,22923.014732975742 kilogram,426850.65541044646 kilogram,508086.5492515638 kilogram,0.0 kilogram,18128.268362898674 kilogram,62.8027800903445 kilogram,1169.4538504395794 kilogram,1392.0179431549693 kilogram,0.0 kilogram
2768553.5353209195 kilogram,7585.078178961423 kilogram,03150110,1084179.44483 acre,4940894.124248022 kilogram,294712.9615381876 kilogram,1815049.2907488348 kilogram,658791.283033897 kilogram,0.0 kilogram,13536.696230816498 kilogram,807.4327713375002 kilogram,4972.73778287352 kilogram,1804.9076247504029 kilogram,0.0 kilogram
3371211.694626405 kilogram,9236.196423633986 kilogram,03160102,444516.049994 acre,1167153.3778660463 kilogram,80184.38569153589 kilogram,2885274.084047293 kilogram,405753.2248875761 kilogram,0.0 kilogram,3197.6804873042365 kilogram,219.68324846996134 kilogram,7904.860504239158 kilogram,1111.652670924866 kilogram,0.0 kilogram
